StopCode,StopName,Country,StopLat,StopLng
BMN,Brummen,NL,52.091110229492,6.1469445228577
BRUSC,Brussel-Centraal,B,50.845175,4.357131
BRUSN,Brussel-Noord,B,50.859658,4.360854
BRUSZ,Brussel-Zuid Midi,B,50.836782,4.336922
FBNL,Brussels Airport-Zaventem,B,50.896821,4.48549
BP,Buitenpost,NL,53.2564547,6.1446496
BDE,Bunde,NL,50.896945953369,5.7366666793823
BUENDE,Bünde (Westf),D,52.202075,8.573876
BNK,Bunnik,NL,52.063056945801,5.1944446563721
BSMZ,Bussum Zuid,NL,52.26583480835,5.1630554199219
CPS,Capelle Schollevaar,NL,51.954166412354,4.5841665267944
CAS,Castricum,NL,52.545833587646,4.6586112976074
CHAMB,Chambéry,F,45.57127,5.91953
CVM,Chevremont,NL,50.876110076904,6.0597224235535
ECMF,Coesfeld (Westf),D,51.939,7.1642
CO,Coevorden,NL,52.663612365723,6.7355556488037
COMO,Como S. Giovanni,I,45.80889,9.071944
CK,Cuijk,NL,51.726682587905,5.8742952346802
CL,Culemborg,NL,51.946666717529,5.2269444465637
DA,Daarlerveen,NL,52.4407702,6.5759947
DLN,Dalen,NL,52.69416809082,6.7580556869507
DL,Dalfsen,NL,52.498332977295,6.25861120224
DVNK,De Vink,NL,52.147220611572,4.4563889503479
DWE,De Westereen,NL,53.24817,6.03463
DEI,Deinum,NL,53.1888115,5.7281572
DDN,Delden,NL,52.259998321533,6.7161111831665
DT,Delft,NL,52.00666809082,4.3563890457153
DTCP,Delft Campus,NL,51.990833282471,4.3647222518921
DZ,Delfzijl,NL,53.3336625,6.9240797
DZW,Delfzijl West,NL,53.3320834,6.9069092
DLD,Den Dolder,NL,52.140277862549,5.2427778244019
GVC,Den Haag Centraal,NL,52.080276489258,4.3249998092651
GV,Den Haag HS,NL,52.069721221924,4.3225002288818
LAA,Den Haag Laan v NOI,NL,52.078609466553,4.3427777290344
GVM,Den Haag Mariahoeve,NL,52.090557098389,4.3694443702698
GVMW,Den Haag Moerwijk,NL,52.053890228271,4.3086109161377
YPB,Den Haag Ypenburg,NL,52.055278778076,4.39222240448
